,Frobenius,Correlation,site,seed,algorithm
0,7.97307308636479,0.1439918140680255,Average,1,Average
1,7.97307308636479,0.1439918140680255,Average,2,Average
2,7.97307308636479,0.1439918140680255,Average,3,Average
3,7.97307308636479,0.1439918140680255,Average,4,Average
4,7.97307308636479,0.1439918140680255,Average,5,Average
5,7.97307308636479,0.1439918140680255,Average,6,Average
6,7.97307308636479,0.1439918140680255,Average,7,Average
7,7.97307308636479,0.1439918140680255,Average,8,Average
8,7.97307308636479,0.1439918140680255,Average,9,Average
9,7.97307308636479,0.1439918140680255,Average,10,Average
0,4.120188163012024,0.8666283730115963,Average,1,Extra Trees
1,4.277107236501641,0.849167364432313,Average,2,Extra Trees
2,4.312986712513679,0.8613775151621056,Average,3,Extra Trees
3,4.1622831540792085,0.8659255306678255,Average,4,Extra Trees
4,4.231819509257297,0.8563982308380587,Average,5,Extra Trees
5,4.314851974517472,0.8576012209157866,Average,6,Extra Trees
6,4.084835082989337,0.8701133096193426,Average,7,Extra Trees
7,4.125308525932234,0.8624809502621512,Average,8,Extra Trees
8,4.274528395329474,0.8561973049561218,Average,9,Extra Trees
9,4.255269123244037,0.8612043098025152,Average,10,Extra Trees
0,6.399855032655171,0.7689523556814785,Average,1,AutoComplete
1,6.461505457597299,0.7413202187610107,Average,2,AutoComplete
2,6.4621580947697215,0.7651893596490407,Average,3,AutoComplete
3,6.476955066898962,0.749808799260378,Average,4,AutoComplete
4,6.138571260986973,0.7642448173248593,Average,5,AutoComplete
5,6.393322877654075,0.758522682666344,Average,6,AutoComplete
6,6.455117646484891,0.7591882689544618,Average,7,AutoComplete
7,6.395915213235754,0.7695918393857875,Average,8,AutoComplete
8,6.679413020045232,0.7532352987897761,Average,9,AutoComplete
9,6.623207454193437,0.7547960763928102,Average,10,AutoComplete
0,3.8112706561397305,0.8554773535420335,Average,1,Hierarchical approach
1,3.906405857623221,0.848478648982645,Average,2,Hierarchical approach
2,3.923383712359969,0.8467026941142349,Average,3,Hierarchical approach
3,3.8557207572442,0.8536573287302502,Average,4,Hierarchical approach
4,3.85069346729556,0.8527249329540718,Average,5,Hierarchical approach
5,3.852287572754985,0.8520767340604498,Average,6,Hierarchical approach
6,3.9133815216037577,0.846419045464611,Average,7,Hierarchical approach
7,3.964257267809776,0.8452041306469525,Average,8,Hierarchical approach
8,3.8477080688273433,0.8525723731702206,Average,9,Hierarchical approach
9,4.029303407254803,0.8379396360146448,Average,10,Hierarchical approach
0,4.65032249138014,0.7781787565080924,Average,1,MICE
1,4.459361667685484,0.7976733479018197,Average,2,MICE
