,variable,1-JS Divergence,1-NMSE,site,seed,algorithm
0,CANTAB_IED_StagesCompletedTrials_RawScore,0.0534391955422702,-0.0056534755177781,Average,1,Average
1,CANTAB_SOCP_AMoveITime_RawScore,0.0729751869320193,-0.006089162627292,Average,1,Average
2,GroovedPegs_NDominant_RawScore,0.062502801497043,-0.0020822100717226,Average,1,Average
3,CANTAB_RTI_MovementTime_RawScore,0.0810635564602789,-0.0058779571761959,Average,1,Average
4,WCTS_NumberCategories_RawScore,5.119682455756447e-11,-0.0044627191127752,Average,1,Average
5,WMS_ImmediateThematicRecall_A_RawScore,3.4675595728117514e-11,-0.0014216748939133,Average,1,Average
6,CANTAB_RVP_ASim357246_RawScore,0.093820232561233,-0.0052847313761332,Average,1,Average
7,WMS_ImmediateStoryRecall_B_RawScore,0.0527054917145674,-0.0024430237462229,Average,1,Average
8,WMS_FreeRecall_RawScore,0.0420248899838725,-0.0049867831740986,Average,1,Average
9,CANTAB_SOCP_5MoveSTime_RawScore,0.0674154479123602,-0.0162504111694856,Average,1,Average
10,CANTAB_PAL_TotalErrors8_RawScore,1.909349345297073e-10,-0.0282018258748095,Average,1,Average
11,CANTAB_RTI_ReactionTime_RawScore,0.0800646056764516,-0.0075879557641105,Average,1,Average
12,WASI_WAIS3_MatrixReasoning_RawScore,4.5719761310181184e-11,-0.001185800282204,Average,1,Average
13,CANTAB_DMS_TotalCorrect_RawScore,0.3304370212661557,-0.0277786735131224,Average,1,Average
14,GroovedPegs_Dominant_RawScore,0.0140946676008362,-0.0016210336539561,Average,1,Average
15,Trailmaking_test_part_A,0.0033270978732693,-0.0022326133291303,Average,1,Average
16,CANTAB_ERT_PercentCorrect_RawScore,0.1869553924804157,-0.0317478650326328,Average,1,Average
17,CANTAB_DMS_TotalCorrectSimultaneous_RawScore,0.0710280016062805,-0.0500051964018388,Average,1,Average
18,CANTAB_SWM_Strategy_RawScore,0.0839777475412933,-0.0105504341137934,Average,1,Average
19,CANTAB_RVP_Latency357246_RawScore,0.0996109974966568,-0.0062493194638653,Average,1,Average
20,MCCB_Mazes_RawScore,5.792910595658896e-11,-0.0034254073064312,Average,1,Average
21,WCTS_PerservativeResponses_RawScore,1.0937994954218766e-10,-0.0049189377755889,Average,1,Average
22,WMS_ImmediateThematicRecall_B_RawScore,3.5801805964297267e-11,-0.0022257920549511,Average,1,Average
23,CANTAB_PAL_FirstTrial_RawScore,0.1349438242435285,-0.0460670902591833,Average,1,Average
24,CANTAB_RTI_ChoiceMovementTime_RawScore,0.0767448592531713,-0.0074214878456284,Average,1,Average
25,VF_MCCB_BACS_VerbalFluency_RawScore,0.0136940518874258,-0.0010055210885719,Average,1,Average
26,CANTAB_RTI_ChoiceReactionTime_RawScore,0.0611723789966851,-0.0056709464594428,Average,1,Average
27,CANTAB_SOCP_SolvedMinMoves_RawScore,5.6697646577674725e-11,-0.0077633954225915,Average,1,Average
28,CANTAB_SOCP_AMoveMoves_RawScore,0.0246100725187422,-0.0298793299019333,Average,1,Average
29,CANTAB_DMS_CorrectLatencyAllDelays_RawScore,0.1284309353091395,-0.0290679601015204,Average,1,Average
30,CVLT_HVLT_Total_Delayedrecall_RawRelative,4.343825299457649e-11,-0.0011954816050099,Average,1,Average
31,WASI_WAIS3_BlockDesign_RawScore,7.268874391286316e-11,-0.0008762388486915,Average,1,Average
32,CANTAB_RVP_Latency357_RawScore,0.0917582965632681,-0.0131408221526407,Average,1,Average
33,WAIS3_DigitSpanForward_RawScore,3.3603120286329607e-11,-0.0019640655671755,Average,1,Average
34,WAIS3_DigitSpanBackwards_RawScore,3.4442115826038844e-11,-0.0016184760340856,Average,1,Average
35,WAIS3_BACS_SymbolCoding_RawRelative,0.0319511195520396,-0.0016489436345608,Average,1,Average
36,CVLT_BACS_Verbal_Total_RawScore,9.204514928029539e-11,-0.0027829830974259,Average,1,Average
37,DKEFS_ColorWordInterference_Inhibition_RawScore,0.0076895145580767,-0.001779604890328,Average,1,Average
38,HVLT_Total_RawScore,5.742262221275496e-11,-0.0034852111344891,Average,1,Average
39,VerbalFluency_Phonemic_RawScore,1.2257150849848128e-10,-0.002830259109519,Average,1,Average
40,WASI_WAIS3_Vocabulary_RawScore,6.743050562363351e-11,-0.002551765981968,Average,1,Average
41,CANTAB_DMS_TotalCorrectAllDelays_RawScore,0.1775732887453259,-0.0155223930819481,Average,1,Average
42,WMS_ImmediateStoryRecall_A_RawScore,4.59456916956924e-11,-0.0014964430595409,Average,1,Average
43,DKEFS_ColorWordInterference_Switching_RawScore,0.056446574050625,-0.0011768389088409,Average,1,Average
44,CANTAB_PAL_TotalErrors6_RawScore,1.4528633851540462e-10,-0.0405673714432028,Average,1,Average
45,CANTAB_SOCP_5MoveITime_RawScore,0.0917582966153276,-0.0165482545201169,Average,1,Average
46,WASI_WAIS3_Similarities_RawScore,0.0644994156389594,-0.0020522303866292,Average,1,Average
47,CANTAB_RVP_ASim357_RawScore,0.0833006047152024,-0.0049610670808355,Average,1,Average
48,CANTAB_RVP_Latency357246468_RawScore,0.0773781383385039,-0.0375347316311032,Average,1,Average
49,DigitSymbolCoding,0.0242180385331385,-0.0029073819924305,Average,1,Average
50,CVLT_HVLT_Total_RecognitionHits_RawRelative,3.560529648893862e-11,-0.0011819891840751,Average,1,Average
51,CANTAB_IED_ErrorsIDS_RawScore,0.0255598663944293,-0.0030399931593703,Average,1,Average
52,CaliforniaVLT_FreeRecall_RawScore,3.445210783326047e-11,-0.0045233561573778,Average,1,Average
53,WAIS3_DigitSpan_RawScore,4.564315592148205e-11,-0.0010515359419547,Average,1,Average
54,CANTAB_SOCP_AMoveISime_RawScore,0.0554261279573227,-0.0115069571339445,Average,1,Average
55,WMS_TotalRecall_RawScore,5.831912730513977e-11,-0.0020308605163805,Average,1,Average
56,WAIS3_MCCB_LetterNumberSeeq_RawScore,4.467060055191041e-11,-0.001461376560268,Average,1,Average
57,WCTS_FailureToMaintain_RawScore,4.7835402305906876e-11,-0.0105374096420765,Average,1,Average
58,CANTAB_SOCP_5MoveMoves_RawScore,1.188513731875673e-10,-0.0070620988322041,Average,1,Average
59,ReyOCF_Copy_RawScore,5.3322124493604406e-11,-0.0029339734862121,Average,1,Average
60,UPSAB_Total_RawScore,1.0240908121517124e-10,-0.0046690590727394,Average,1,Average
61,Rey_BVMT_LongTerm_RawScore,7.35369543036768e-11,-0.0015252206833031,Average,1,Average
62,CANTAB_ERT_MeanLatency_RawScore,0.0969270545480984,-0.0443784936575222,Average,1,Average
63,WCTS_PerservativeError_RawScore,0.1144179618056512,-0.0047109615074136,Average,1,Average
64,VerbalFluency_Letters,1.2256340387040154e-10,-0.002339113580827,Average,1,Average
65,CANTAB_IED_TotalErrorsAdjUncompleted_RawScore,0.0074805882730213,-0.0024370131476063,Average,1,Average
66,CANTAB_IED_StagesCompletedTrials_RawScore,0.0534391955422702,-0.0056534755177781,Average,2,Average
67,CANTAB_SOCP_AMoveITime_RawScore,0.0729751869320193,-0.006089162627292,Average,2,Average
68,GroovedPegs_NDominant_RawScore,0.062502801497043,-0.0020822100717226,Average,2,Average
69,CANTAB_RTI_MovementTime_RawScore,0.0810635564602789,-0.0058779571761959,Average,2,Average
70,WCTS_NumberCategories_RawScore,5.119682455756447e-11,-0.0044627191127752,Average,2,Average
71,WMS_ImmediateThematicRecall_A_RawScore,3.4675595728117514e-11,-0.0014216748939133,Average,2,Average
72,CANTAB_RVP_ASim357246_RawScore,0.093820232561233,-0.0052847313761332,Average,2,Average
73,WMS_ImmediateStoryRecall_B_RawScore,0.0527054917145674,-0.0024430237462229,Average,2,Average
74,WMS_FreeRecall_RawScore,0.0420248899838725,-0.0049867831740986,Average,2,Average
75,CANTAB_SOCP_5MoveSTime_RawScore,0.0674154479123602,-0.0162504111694856,Average,2,Average
76,CANTAB_PAL_TotalErrors8_RawScore,1.909349345297073e-10,-0.0282018258748095,Average,2,Average
77,CANTAB_RTI_ReactionTime_RawScore,0.0800646056764516,-0.0075879557641105,Average,2,Average
78,WASI_WAIS3_MatrixReasoning_RawScore,4.5719761310181184e-11,-0.001185800282204,Average,2,Average
79,CANTAB_DMS_TotalCorrect_RawScore,0.3304370212661557,-0.0277786735131224,Average,2,Average
80,GroovedPegs_Dominant_RawScore,0.0140946676008362,-0.0016210336539561,Average,2,Average
81,Trailmaking_test_part_A,0.0033270978732693,-0.0022326133291303,Average,2,Average
82,CANTAB_ERT_PercentCorrect_RawScore,0.1869553924804157,-0.0317478650326328,Average,2,Average
83,CANTAB_DMS_TotalCorrectSimultaneous_RawScore,0.0710280016062805,-0.0500051964018388,Average,2,Average
84,CANTAB_SWM_Strategy_RawScore,0.0839777475412933,-0.0105504341137934,Average,2,Average
85,CANTAB_RVP_Latency357246_RawScore,0.0996109974966568,-0.0062493194638653,Average,2,Average
86,MCCB_Mazes_RawScore,5.792910595658896e-11,-0.0034254073064312,Average,2,Average
87,WCTS_PerservativeResponses_RawScore,1.0937994954218766e-10,-0.0049189377755889,Average,2,Average
88,WMS_ImmediateThematicRecall_B_RawScore,3.5801805964297267e-11,-0.0022257920549511,Average,2,Average
89,CANTAB_PAL_FirstTrial_RawScore,0.1349438242435285,-0.0460670902591833,Average,2,Average
90,CANTAB_RTI_ChoiceMovementTime_RawScore,0.0767448592531713,-0.0074214878456284,Average,2,Average
91,VF_MCCB_BACS_VerbalFluency_RawScore,0.0136940518874258,-0.0010055210885719,Average,2,Average
92,CANTAB_RTI_ChoiceReactionTime_RawScore,0.0611723789966851,-0.0056709464594428,Average,2,Average
93,CANTAB_SOCP_SolvedMinMoves_RawScore,5.6697646577674725e-11,-0.0077633954225915,Average,2,Average
94,CANTAB_SOCP_AMoveMoves_RawScore,0.0246100725187422,-0.0298793299019333,Average,2,Average
95,CANTAB_DMS_CorrectLatencyAllDelays_RawScore,0.1284309353091395,-0.0290679601015204,Average,2,Average
96,CVLT_HVLT_Total_Delayedrecall_RawRelative,4.343825299457649e-11,-0.0011954816050099,Average,2,Average
97,WASI_WAIS3_BlockDesign_RawScore,7.268874391286316e-11,-0.0008762388486915,Average,2,Average
98,CANTAB_RVP_Latency357_RawScore,0.0917582965632681,-0.0131408221526407,Average,2,Average
99,WAIS3_DigitSpanForward_RawScore,3.3603120286329607e-11,-0.0019640655671755,Average,2,Average
100,WAIS3_DigitSpanBackwards_RawScore,3.4442115826038844e-11,-0.0016184760340856,Average,2,Average
101,WAIS3_BACS_SymbolCoding_RawRelative,0.0319511195520396,-0.0016489436345608,Average,2,Average
102,CVLT_BACS_Verbal_Total_RawScore,9.204514928029539e-11,-0.0027829830974259,Average,2,Average
103,DKEFS_ColorWordInterference_Inhibition_RawScore,0.0076895145580767,-0.001779604890328,Average,2,Average
104,HVLT_Total_RawScore,5.742262221275496e-11,-0.0034852111344891,Average,2,Average
105,VerbalFluency_Phonemic_RawScore,1.2257150849848128e-10,-0.002830259109519,Average,2,Average
106,WASI_WAIS3_Vocabulary_RawScore,6.743050562363351e-11,-0.002551765981968,Average,2,Average
107,CANTAB_DMS_TotalCorrectAllDelays_RawScore,0.1775732887453259,-0.0155223930819481,Average,2,Average
108,WMS_ImmediateStoryRecall_A_RawScore,4.59456916956924e-11,-0.0014964430595409,Average,2,Average
109,DKEFS_ColorWordInterference_Switching_RawScore,0.056446574050625,-0.0011768389088409,Average,2,Average
110,CANTAB_PAL_TotalErrors6_RawScore,1.4528633851540462e-10,-0.0405673714432028,Average,2,Average
111,CANTAB_SOCP_5MoveITime_RawScore,0.0917582966153276,-0.0165482545201169,Average,2,Average
112,WASI_WAIS3_Similarities_RawScore,0.0644994156389594,-0.0020522303866292,Average,2,Average
113,CANTAB_RVP_ASim357_RawScore,0.0833006047152024,-0.0049610670808355,Average,2,Average
