,variable,coverage,width,site,seed,algorithm
0,CANTAB_DMS_CorrectLatencyAllDelays_RawScore,0.0,0.0,Average,10,Average
1,CANTAB_DMS_TotalCorrectAllDelays_RawScore,0.0,0.0,Average,10,Average
2,CANTAB_DMS_TotalCorrectSimultaneous_RawScore,0.0,0.0,Average,10,Average
3,CANTAB_DMS_TotalCorrect_RawScore,0.0,0.0,Average,10,Average
4,CANTAB_ERT_MeanLatency_RawScore,0.0,0.0,Average,10,Average
5,CANTAB_ERT_PercentCorrect_RawScore,0.0,0.0,Average,10,Average
6,CANTAB_IED_ErrorsIDS_RawScore,0.0,0.0,Average,10,Average
7,CANTAB_IED_StagesCompletedTrials_RawScore,0.0,0.0,Average,10,Average
8,CANTAB_IED_TotalErrorsAdjUncompleted_RawScore,0.0,0.0,Average,10,Average
9,CANTAB_PAL_FirstTrial_RawScore,0.0,0.0,Average,10,Average
10,CANTAB_PAL_TotalErrors6_RawScore,0.0,0.0,Average,10,Average
11,CANTAB_PAL_TotalErrors8_RawScore,0.0,0.0,Average,10,Average
12,CANTAB_RTI_ChoiceMovementTime_RawScore,0.0,0.0,Average,10,Average
13,CANTAB_RTI_ChoiceReactionTime_RawScore,0.0,0.0,Average,10,Average
14,CANTAB_RTI_MovementTime_RawScore,0.0,0.0,Average,10,Average
15,CANTAB_RTI_ReactionTime_RawScore,0.0,0.0,Average,10,Average
16,CANTAB_RVP_ASim357246_RawScore,0.0,0.0,Average,10,Average
17,CANTAB_RVP_ASim357_RawScore,0.0,0.0,Average,10,Average
18,CANTAB_RVP_Latency357246468_RawScore,0.0,0.0,Average,10,Average
19,CANTAB_RVP_Latency357246_RawScore,0.0,0.0,Average,10,Average
20,CANTAB_RVP_Latency357_RawScore,0.0,0.0,Average,10,Average
21,CANTAB_SOCP_5MoveITime_RawScore,0.0,0.0,Average,10,Average
22,CANTAB_SOCP_5MoveMoves_RawScore,0.0,0.0,Average,10,Average
23,CANTAB_SOCP_5MoveSTime_RawScore,0.0,0.0,Average,10,Average
24,CANTAB_SOCP_AMoveISime_RawScore,0.0,0.0,Average,10,Average
25,CANTAB_SOCP_AMoveITime_RawScore,0.0,0.0,Average,10,Average
26,CANTAB_SOCP_AMoveMoves_RawScore,0.0,0.0,Average,10,Average
27,CANTAB_SOCP_SolvedMinMoves_RawScore,0.0,0.0,Average,10,Average
28,CANTAB_SWM_Strategy_RawScore,0.0,0.0,Average,10,Average
29,CVLT_BACS_Verbal_Total_RawScore,0.0,0.0,Average,10,Average
30,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.0,0.0,Average,10,Average
31,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.0,0.0,Average,10,Average
32,CaliforniaVLT_FreeRecall_RawScore,0.0,0.0,Average,10,Average
33,DKEFS_ColorWordInterference_Inhibition_RawScore,0.0,0.0,Average,10,Average
34,DKEFS_ColorWordInterference_Switching_RawScore,0.0,0.0,Average,10,Average
35,DigitSymbolCoding,0.0,0.0,Average,10,Average
36,GroovedPegs_Dominant_RawScore,0.0,0.0,Average,10,Average
37,GroovedPegs_NDominant_RawScore,0.0,0.0,Average,10,Average
38,HVLT_Total_RawScore,0.0,0.0,Average,10,Average
39,MCCB_Mazes_RawScore,0.0,0.0,Average,10,Average
40,ReyOCF_Copy_RawScore,0.0,0.0,Average,10,Average
41,Rey_BVMT_LongTerm_RawScore,0.0,0.0,Average,10,Average
42,Trailmaking_test_part_A,0.0,0.0,Average,10,Average
43,UPSAB_Total_RawScore,0.0,0.0,Average,10,Average
44,VF_MCCB_BACS_VerbalFluency_RawScore,0.0,0.0,Average,10,Average
45,VerbalFluency_Letters,0.0,0.0,Average,10,Average
46,VerbalFluency_Phonemic_RawScore,0.0,0.0,Average,10,Average
47,WAIS3_BACS_SymbolCoding_RawRelative,0.0,0.0,Average,10,Average
48,WAIS3_DigitSpanBackwards_RawScore,0.0,0.0,Average,10,Average
49,WAIS3_DigitSpanForward_RawScore,0.0,0.0,Average,10,Average
50,WAIS3_DigitSpan_RawScore,0.0,0.0,Average,10,Average
51,WAIS3_MCCB_LetterNumberSeeq_RawScore,0.0,0.0,Average,10,Average
52,WASI_WAIS3_BlockDesign_RawScore,0.0,0.0,Average,10,Average
53,WASI_WAIS3_MatrixReasoning_RawScore,0.0,0.0,Average,10,Average
54,WASI_WAIS3_Similarities_RawScore,0.0,0.0,Average,10,Average
55,WASI_WAIS3_Vocabulary_RawScore,0.0,0.0,Average,10,Average
56,WCTS_FailureToMaintain_RawScore,0.0,0.0,Average,10,Average
57,WCTS_NumberCategories_RawScore,0.0,0.0,Average,10,Average
58,WCTS_PerservativeError_RawScore,0.0,0.0,Average,10,Average
59,WCTS_PerservativeResponses_RawScore,0.0,0.0,Average,10,Average
