,Frobenius,Correlation,site,seed,algorithm
0,6.104309043516566,0.1704621025355398,Average,1,Average
1,6.104309043516566,0.1704621025355398,Average,2,Average
2,6.104309043516566,0.1704621025355398,Average,3,Average
3,6.104309043516566,0.1704621025355398,Average,4,Average
4,6.104309043516566,0.1704621025355398,Average,5,Average
5,6.104309043516566,0.1704621025355398,Average,6,Average
6,6.104309043516566,0.1704621025355398,Average,7,Average
7,6.104309043516566,0.1704621025355398,Average,8,Average
8,6.104309043516566,0.1704621025355398,Average,9,Average
9,6.104309043516566,0.1704621025355398,Average,10,Average
0,3.466219896918834,0.9369874137884354,Average,1,Extra Trees
1,3.2837262650501,0.9418325010484048,Average,2,Extra Trees
2,3.437701014499741,0.9368727809472714,Average,3,Extra Trees
3,3.39235436200494,0.9373844908659188,Average,4,Extra Trees
4,3.4033629036668125,0.9371211409588036,Average,5,Extra Trees
5,3.411202167455584,0.9377438089033144,Average,6,Extra Trees
6,3.321399592273769,0.9401113488239196,Average,7,Extra Trees
7,3.243730413501103,0.937892765597419,Average,8,Extra Trees
8,3.229735609348298,0.944991665544498,Average,9,Extra Trees
9,3.4002162471881707,0.9405378223495562,Average,10,Extra Trees
0,6.040296334091025,0.6991608497474785,Average,1,AutoComplete
1,6.4951277031316135,0.6806540946713656,Average,2,AutoComplete
2,6.190509535389443,0.6983547078700405,Average,3,AutoComplete
3,6.338776554581483,0.6916572388815732,Average,4,AutoComplete
4,5.833103719575041,0.7036244047245453,Average,5,AutoComplete
5,5.603626151039543,0.7146931876761202,Average,6,AutoComplete
6,6.166642079815978,0.6846725848751786,Average,7,AutoComplete
7,5.906858873433243,0.7140301127344757,Average,8,AutoComplete
8,5.695890518542704,0.6999809861994175,Average,9,AutoComplete
9,6.051633533805507,0.6949879845291066,Average,10,AutoComplete
0,1.659881027470144,0.953390572385723,Average,1,Hierarchical approach
1,1.57657143099735,0.9584633956088378,Average,2,Hierarchical approach
2,1.5629709967507166,0.958899564782606,Average,3,Hierarchical approach
3,1.5472342393435623,0.9598241650638192,Average,4,Hierarchical approach
4,1.6201066655803122,0.955858308176732,Average,5,Hierarchical approach
5,1.6080204708498396,0.9557663906498092,Average,6,Hierarchical approach
