,variable,coverage,width,num_samples,overlap,noise (%),missingness,algorithm
40,Variable_1,0.5,0.8239962123339287,100,4,10.0,noise,Extra Trees
41,Variable_2,0.5,0.8462036631000853,100,4,10.0,noise,Extra Trees
42,Variable_3,0.5,0.8062912195703124,100,4,10.0,noise,Extra Trees
43,Variable_4,0.6666666666666666,0.8131876809100388,100,4,10.0,noise,Extra Trees
44,Variable_5,0.5555555555555556,0.8851750858787326,100,4,10.0,noise,Extra Trees
45,Variable_6,0.4444444444444444,0.6840805075677885,100,4,10.0,noise,Extra Trees
46,Variable_7,0.1111111111111111,0.7970383643936262,100,4,10.0,noise,Extra Trees
47,Variable_8,0.25,0.9540322388310666,100,4,10.0,noise,Extra Trees
48,Variable_9,0.2727272727272727,0.8394282668936586,100,4,10.0,noise,Extra Trees
49,Variable_10,0.5555555555555556,0.8932088747535124,100,4,10.0,noise,Extra Trees
50,Variable_11,0.375,0.8075492213162205,100,4,10.0,noise,Extra Trees
51,Variable_12,0.6666666666666666,0.8013758732632987,100,4,10.0,noise,Extra Trees
52,Variable_13,0.5714285714285714,0.814507832575709,100,4,10.0,noise,Extra Trees
53,Variable_14,0.2307692307692307,0.7738247057726446,100,4,10.0,noise,Extra Trees
54,Variable_15,0.6428571428571429,0.8860896731669491,100,4,10.0,noise,Extra Trees
55,Variable_16,0.1666666666666666,0.8095507078769746,100,4,10.0,noise,Extra Trees
56,Variable_17,0.25,0.8808896824905836,100,4,10.0,noise,Extra Trees
57,Variable_18,0.6666666666666666,0.8128822154198032,100,4,10.0,noise,Extra Trees
58,Variable_19,0.4545454545454545,0.8661136395282264,100,4,10.0,noise,Extra Trees
59,Variable_20,0.7142857142857143,0.9848198271615568,100,4,10.0,noise,Extra Trees
60,Variable_21,0.625,0.9000849717641439,100,4,10.0,noise,Extra Trees
61,Variable_22,0.8571428571428571,0.8872071051299287,100,4,10.0,noise,Extra Trees
62,Variable_23,0.6,0.9641817536189554,100,4,10.0,noise,Extra Trees
63,Variable_24,0.75,0.9105189636201968,100,4,10.0,noise,Extra Trees
64,Variable_25,0.5384615384615384,0.8866215308635765,100,4,10.0,noise,Extra Trees
65,Variable_26,0.1,0.8230345004614806,100,4,10.0,noise,Extra Trees
66,Variable_27,0.4,0.8888794543236986,100,4,10.0,noise,Extra Trees
67,Variable_28,0.2222222222222222,0.9496290793292216,100,4,10.0,noise,Extra Trees
68,Variable_29,0.2857142857142857,0.9822341193107372,100,4,10.0,noise,Extra Trees
69,Variable_30,0.4285714285714285,0.8050448004868802,100,4,10.0,noise,Extra Trees
70,Variable_31,0.7272727272727273,0.9832748988296304,100,4,10.0,noise,Extra Trees
71,Variable_32,0.75,0.8532357157715845,100,4,10.0,noise,Extra Trees
72,Variable_33,0.3333333333333333,0.8328015788913153,100,4,10.0,noise,Extra Trees
73,Variable_34,0.1818181818181818,0.8681532669459322,100,4,10.0,noise,Extra Trees
74,Variable_35,0.4444444444444444,0.7994747275414524,100,4,10.0,noise,Extra Trees
75,Variable_36,0.5454545454545454,0.8358130281262095,100,4,10.0,noise,Extra Trees
76,Variable_37,0.5,0.8448497365583727,100,4,10.0,noise,Extra Trees
77,Variable_38,0.2857142857142857,0.6833258507862142,100,4,10.0,noise,Extra Trees
78,Variable_39,0.1666666666666666,0.6816200584374501,100,4,10.0,noise,Extra Trees
79,Variable_40,0.5,0.9506748145018652,100,4,10.0,noise,Extra Trees
80,Variable_1,0.42,0.8784888921987934,100,4,10.0,blocks,Extra Trees
81,Variable_2,0.04,0.9472170136340012,100,4,10.0,blocks,Extra Trees
82,Variable_3,0.24,1.2374424227223666,100,4,10.0,blocks,Extra Trees
83,Variable_4,0.52,1.005044009749781,100,4,10.0,blocks,Extra Trees
84,Variable_5,0.44,1.0536652468171026,100,4,10.0,blocks,Extra Trees
85,Variable_6,0.0,1.0538927189440033,100,4,10.0,blocks,Extra Trees
