,variable,seed,algorithm,site,1-JS Divergence
0,DKEFS_ColorWordInterference_Switching_RawScore,1,AutoComplete,TOP2,0.19156987315852148
1,WAIS3_DigitSpanBackwards_RawScore,1,AutoComplete,TOP2,0.219059726946099
2,UPSAB_Total_RawScore,1,AutoComplete,TOP2,0.1714813926464559
3,WMS_ImmediateThematicRecall_A_RawScore,1,AutoComplete,TOP2,0.08692545795497308
4,WASI_MatrixReasoning_RawScore,1,AutoComplete,TOP2,0.18136753168919617
5,WAIS3_DigitSpanForward_RawScore,1,AutoComplete,TOP2,1.1102230246251565e-16
6,DKEFS_ColorWordInterference_Inhibition_RawScore,1,AutoComplete,TOP2,0.11572976206563379
7,WMS_ImmediateThematicRecall_B_RawScore,1,AutoComplete,TOP2,0.13687596697456417
8,MCCB_Mazes_RawScore,1,AutoComplete,TOP2,0.14379055440128408
9,WASI_Vocabulary_RawScore,1,AutoComplete,TOP2,0.09039220957164018
10,WASI_Similarities_RawScore,1,AutoComplete,TOP2,0.2549902508805435
11,WMS_ImmediateStoryRecall_B_RawScore,1,AutoComplete,TOP2,0.10780744492136374
12,GroovedPegs_NDominant_RawScore,1,AutoComplete,TOP2,0.2631714198644496
13,WAIS3_DigitSpan_RawScore,1,AutoComplete,TOP2,0.15596054468699638
14,GroovedPegs_Dominant_RawScore,1,AutoComplete,TOP2,0.2094890656842191
15,WMS_TotalRecall_RawScore,1,AutoComplete,TOP2,0.22548082662826074
16,Trailmaking_test_part_A,1,AutoComplete,TOP2,0.1685886255586243
17,HVLT_Total_RawScore,1,AutoComplete,TOP2,0.0
18,WMS_ImmediateStoryRecall_A_RawScore,1,AutoComplete,TOP2,0.17927775755171582
19,WASI_BlockDesign_RawScore,1,AutoComplete,TOP2,0.3376263062324971
20,DKEFS_ColorWordInterference_Switching_RawScore,1,AutoComplete,TOP1,0.17130519937039002
21,WAIS3_DigitSpanBackwards_RawScore,1,AutoComplete,TOP1,0.3350035945321751
22,VerbalFluency_Phonemic_RawScore,1,AutoComplete,TOP1,0.09786659108083051
23,WMS_ImmediateThematicRecall_A_RawScore,1,AutoComplete,TOP1,0.3042487771105401
24,CaliforniaVLT_Total_RawScore,1,AutoComplete,TOP1,0.1422168300557498
25,WCTS_FailureToMaintain_RawScore,1,AutoComplete,TOP1,0.0099746866555388
26,WASI_MatrixReasoning_RawScore,1,AutoComplete,TOP1,0.13795845505547288
27,WCTS_PerservativeError_RawScore,1,AutoComplete,TOP1,0.2128530772052326
28,WAIS3_DigitSpanForward_RawScore,1,AutoComplete,TOP1,1.1102230246251565e-16
29,DKEFS_ColorWordInterference_Inhibition_RawScore,1,AutoComplete,TOP1,0.19437622855400427
30,WMS_ImmediateThematicRecall_B_RawScore,1,AutoComplete,TOP1,1.1102230246251565e-16
31,ReyOCF_Copy_RawScore,1,AutoComplete,TOP1,0.03698849043191943
32,WASI_Vocabulary_RawScore,1,AutoComplete,TOP1,0.1289320282489903
33,WASI_Similarities_RawScore,1,AutoComplete,TOP1,0.1631279063341613
