,variable,1-JS Divergence,1-NMSE,site,seed,algorithm
0,GroovedPegs_NDominant_RawScore,0.0615887994883401,-0.0022970427332513,Average,1,Average
1,CVLT_HVLT_Total_RecognitionHits_RawRelative,3.643985113654935e-11,-0.0012973588849554,Average,1,Average
2,CaliforniaVLT_Total_RawScore,1.1497847118846494e-10,-0.005212405363751,Average,1,Average
3,CVLT_HVLT_Total_Delayedrecall_RawRelative,4.42841319170384e-11,-0.0022670529435713,Average,1,Average
4,DKEFS_ColorWordInterference_Inhibition_RawScore,0.0080076386020808,-0.0022137163975017,Average,1,Average
5,DKEFS_ColorWordInterference_Switching_RawScore,0.056446574050625,-0.0020290735325556,Average,1,Average
6,WASI_Vocabulary_RawScore,5.955713699989929e-11,-0.0012257376628008,Average,1,Average
7,VF_MCCB_SemnaticVerbalFluency_RawRelative,7.434897142388762e-11,-0.0016880287997029,Average,1,Average
8,WASI_Similarities_RawScore,5.5780602359334346e-11,-0.0021569793666751,Average,1,Average
9,WMS_TotalRecall_RawScore,5.919009726795821e-11,-0.0014115625416102,Average,1,Average
10,UPSAB_Total_RawScore,1.0239986636406684e-10,-0.0045998140100877,Average,1,Average
11,WAIS3_DigitSpanForward_RawScore,3.2763791679712995e-11,-0.0014659874679836,Average,1,Average
12,WAIS3_BACS_SymbolCoding_RawRelative,0.0341622820334714,-0.0019530609717184,Average,1,Average
13,WASI_BlockDesign_RawScore,0.0209727318714409,-0.0027613505612171,Average,1,Average
14,MCCB_Mazes_RawScore,5.7959859134371066e-11,-0.0027452712066073,Average,1,Average
15,VerbalFluency_Phonemic_RawScore,1.225637369373089e-10,-0.0023790569040014,Average,1,Average
16,WMS_FreeRecall_RawScore,0.0255673675183135,-0.0037982299543879,Average,1,Average
17,WMS_ImmediateStoryRecall_B_RawScore,0.0527054917145781,-0.0027166263278344,Average,1,Average
18,GroovedPegs_Dominant_RawScore,0.0136612326534369,-0.0009294404983104,Average,1,Average
19,WMS_ImmediateThematicRecall_A_RawScore,3.467370834897565e-11,-0.001417782810565,Average,1,Average
20,WMS_ImmediateThematicRecall_B_RawScore,3.582234509025284e-11,-0.0022111133356039,Average,1,Average
21,VerbalFluency_Letters,1.2445744435041206e-10,-0.0040309499609774,Average,1,Average
22,Rey_BVMT_LongTerm_RawScore,7.355627218430527e-11,-0.0018754247984176,Average,1,Average
23,Trailmaking_test_part_A,0.0033303613524173,-0.0031090285776174,Average,1,Average
24,WCTS_FailureToMaintain_RawScore,4.778399897986674e-11,-0.0074896106460529,Average,1,Average
25,CaliforniaVLT_FreeRecall_RawScore,3.2605251831796516e-11,-0.0028557819032952,Average,1,Average
26,DigitSymbolCoding,0.0238162823352363,-0.0053177166323481,Average,1,Average
27,WMS_ImmediateStoryRecall_A_RawScore,4.595424041298202e-11,-0.0014133543547989,Average,1,Average
28,HVLT_Total_RawScore,5.740585784508312e-11,-0.0025311752225942,Average,1,Average
29,WCTS_PerservativeResponses_RawScore,1.0937883931916303e-10,-0.0084487901007397,Average,1,Average
30,ReyOCF_Copy_RawScore,5.3336668415227e-11,-0.0030260743434276,Average,1,Average
31,WAIS3_DigitSpanBackwards_RawScore,3.443123564039752e-11,-0.0012055408651077,Average,1,Average
32,WCTS_PerservativeError_RawScore,0.1052615125611963,-0.0071337716125232,Average,1,Average
33,WASI_MatrixReasoning_RawScore,4.8473558500461416e-11,-0.0020949177322477,Average,1,Average
34,WAIS3_MCCB_LetterNumberSeeq_RawScore,4.550992915852703e-11,-0.001495671322959,Average,1,Average
35,WCTS_NumberCategories_RawScore,5.119660251295954e-11,-0.0081165390000992,Average,1,Average
