,variable,coverage,width,site,seed,algorithm
0,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.0,0.0,Average,10,Average
1,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.0,0.0,Average,10,Average
2,CaliforniaVLT_FreeRecall_RawScore,0.0,0.0,Average,10,Average
3,CaliforniaVLT_Total_RawScore,0.0,0.0,Average,10,Average
4,DKEFS_ColorWordInterference_Inhibition_RawScore,0.0,0.0,Average,10,Average
5,DKEFS_ColorWordInterference_Switching_RawScore,0.0,0.0,Average,10,Average
6,DigitSymbolCoding,0.0,0.0,Average,10,Average
7,GroovedPegs_Dominant_RawScore,0.0,0.0,Average,10,Average
8,GroovedPegs_NDominant_RawScore,0.0,0.0,Average,10,Average
9,HVLT_Total_RawScore,0.0,0.0,Average,10,Average
10,MCCB_Mazes_RawScore,0.0,0.0,Average,10,Average
11,ReyOCF_Copy_RawScore,0.0,0.0,Average,10,Average
12,Rey_BVMT_LongTerm_RawScore,0.0,0.0,Average,10,Average
13,Trailmaking_test_part_A,0.0,0.0,Average,10,Average
14,UPSAB_Total_RawScore,0.0,0.0,Average,10,Average
15,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.0,0.0,Average,10,Average
16,VerbalFluency_Letters,0.0,0.0,Average,10,Average
17,VerbalFluency_Phonemic_RawScore,0.0,0.0,Average,10,Average
18,WAIS3_BACS_SymbolCoding_RawRelative,0.0,0.0,Average,10,Average
19,WAIS3_DigitSpanBackwards_RawScore,0.0,0.0,Average,10,Average
20,WAIS3_DigitSpanForward_RawScore,0.0,0.0,Average,10,Average
21,WAIS3_DigitSpan_RawScore,0.0,0.0,Average,10,Average
22,WAIS3_MCCB_LetterNumberSeeq_RawScore,0.0,0.0,Average,10,Average
23,WASI_BlockDesign_RawScore,0.0,0.0,Average,10,Average
24,WASI_MatrixReasoning_RawScore,0.0,0.0,Average,10,Average
25,WASI_Similarities_RawScore,0.0,0.0,Average,10,Average
26,WASI_Vocabulary_RawScore,0.0,0.0,Average,10,Average
27,WCTS_FailureToMaintain_RawScore,0.0,0.0,Average,10,Average
28,WCTS_NumberCategories_RawScore,0.0,0.0,Average,10,Average
29,WCTS_PerservativeError_RawScore,0.0,0.0,Average,10,Average
30,WCTS_PerservativeResponses_RawScore,0.0,0.0,Average,10,Average
31,WMS_FreeRecall_RawScore,0.0,0.0,Average,10,Average
32,WMS_ImmediateStoryRecall_A_RawScore,0.0,0.0,Average,10,Average
33,WMS_ImmediateStoryRecall_B_RawScore,0.0,0.0,Average,10,Average
34,WMS_ImmediateThematicRecall_A_RawScore,0.0,0.0,Average,10,Average
35,WMS_ImmediateThematicRecall_B_RawScore,0.0,0.0,Average,10,Average
36,WMS_TotalRecall_RawScore,0.0,0.0,Average,10,Average
0,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.2015371477369769,0.4229249201445183,Average,10,Extra Trees
1,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.0410122164048865,0.3546911782939781,Average,10,Extra Trees
2,CaliforniaVLT_FreeRecall_RawScore,0.0119047619047619,2.2662038214569544,Average,10,Extra Trees
3,CaliforniaVLT_Total_RawScore,0.4126984126984127,0.7310645791757159,Average,10,Extra Trees
4,DKEFS_ColorWordInterference_Inhibition_RawScore,0.2075796726959517,0.4022106843393145,Average,10,Extra Trees
5,DKEFS_ColorWordInterference_Switching_RawScore,0.2001755926251097,0.3866208824272906,Average,10,Extra Trees
6,DigitSymbolCoding,0.8511904761904762,0.2757243961353272,Average,10,Extra Trees
7,GroovedPegs_Dominant_RawScore,0.1872693726937269,0.3779513657401214,Average,10,Extra Trees
8,GroovedPegs_NDominant_RawScore,0.2012927054478301,0.3689099690100367,Average,10,Extra Trees
9,HVLT_Total_RawScore,0.472263868065967,1.0039432459076336,Average,10,Extra Trees
10,MCCB_Mazes_RawScore,0.7087087087087087,2.971090652936707,Average,10,Extra Trees
11,ReyOCF_Copy_RawScore,0.3075313807531381,2.485660082070705,Average,10,Extra Trees
12,Rey_BVMT_LongTerm_RawScore,0.2028094820017559,0.4007953122116396,Average,10,Extra Trees
13,Trailmaking_test_part_A,0.7560240963855421,2.2842065006789354,Average,10,Extra Trees
14,UPSAB_Total_RawScore,0.7602179836512262,2.6352035403624217,Average,10,Extra Trees
15,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.1892123287671233,0.2479065013832756,Average,10,Extra Trees
16,VerbalFluency_Letters,0.9642147117296224,0.2547229653173897,Average,10,Extra Trees
17,VerbalFluency_Phonemic_RawScore,0.956262425447316,0.2624341705814305,Average,10,Extra Trees
18,WAIS3_BACS_SymbolCoding_RawRelative,0.5969257045260461,0.5987351071888305,Average,10,Extra Trees
19,WAIS3_DigitSpanBackwards_RawScore,0.1826923076923076,0.3051865154412894,Average,10,Extra Trees
20,WAIS3_DigitSpanForward_RawScore,0.1739510489510489,0.3098049752941006,Average,10,Extra Trees
21,WAIS3_DigitSpan_RawScore,0.291958041958042,0.2813774179613665,Average,10,Extra Trees
22,WAIS3_MCCB_LetterNumberSeeq_RawScore,0.1914335664335664,0.3322764145158821,Average,10,Extra Trees
23,WASI_BlockDesign_RawScore,0.2161254199328107,0.458879679798416,Average,10,Extra Trees
24,WASI_MatrixReasoning_RawScore,0.2354948805460751,0.4380000794019732,Average,10,Extra Trees
25,WASI_Similarities_RawScore,0.2150055991041433,0.4220791755306023,Average,10,Extra Trees
26,WASI_Vocabulary_RawScore,0.2369546621043627,0.4915374589407363,Average,10,Extra Trees
27,WCTS_FailureToMaintain_RawScore,0.2020547945205479,1.718801966234517,Average,10,Extra Trees
28,WCTS_NumberCategories_RawScore,0.2705479452054795,0.65377385817207,Average,10,Extra Trees
29,WCTS_PerservativeError_RawScore,0.702054794520548,0.3014390876939598,Average,10,Extra Trees
30,WCTS_PerservativeResponses_RawScore,0.6027397260273972,0.2984145306463423,Average,10,Extra Trees
31,WMS_FreeRecall_RawScore,0.2732673267326733,0.2867594040616024,Average,10,Extra Trees
32,WMS_ImmediateStoryRecall_A_RawScore,0.2744014732965009,0.2844466771997049,Average,10,Extra Trees
33,WMS_ImmediateStoryRecall_B_RawScore,0.2679558011049723,0.3044157426271214,Average,10,Extra Trees
34,WMS_ImmediateThematicRecall_A_RawScore,0.1933701657458563,0.353364979494972,Average,10,Extra Trees
35,WMS_ImmediateThematicRecall_B_RawScore,0.1979742173112338,0.3303899663098762,Average,10,Extra Trees
36,WMS_TotalRecall_RawScore,0.6040515653775322,0.2987474607760076,Average,10,Extra Trees
0,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.0768573868488471,0.2770109650444003,Average,10,AutoComplete
1,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.013089005235602,0.2483757325596558,Average,10,AutoComplete
2,CaliforniaVLT_FreeRecall_RawScore,0.4265873015873015,0.2682385207889652,Average,10,AutoComplete
3,CaliforniaVLT_Total_RawScore,0.2063492063492063,0.4340678039523884,Average,10,AutoComplete
4,DKEFS_ColorWordInterference_Inhibition_RawScore,0.1050818260120585,0.2615355431801483,Average,10,AutoComplete
5,DKEFS_ColorWordInterference_Switching_RawScore,0.112379280070237,0.2794429060866479,Average,10,AutoComplete
6,DigitSymbolCoding,0.4523809523809524,0.3100143776620955,Average,10,AutoComplete
7,GroovedPegs_Dominant_RawScore,0.1033210332103321,0.279668217325723,Average,10,AutoComplete
8,GroovedPegs_NDominant_RawScore,0.1394275161588181,0.295176821159851,Average,10,AutoComplete
9,HVLT_Total_RawScore,0.1094452773613193,0.2775214857463577,Average,10,AutoComplete
10,MCCB_Mazes_RawScore,0.1051051051051051,0.2854912719696603,Average,10,AutoComplete
11,ReyOCF_Copy_RawScore,0.1108786610878661,0.3911258033790851,Average,10,AutoComplete
12,Rey_BVMT_LongTerm_RawScore,0.1158911325724319,0.2324323298045577,Average,10,AutoComplete
13,Trailmaking_test_part_A,0.1054216867469879,0.2773330957124938,Average,10,AutoComplete
14,UPSAB_Total_RawScore,0.1171662125340599,0.4031570917597928,Average,10,AutoComplete
15,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.1044520547945205,0.1617163957206347,Average,10,AutoComplete
16,VerbalFluency_Letters,0.1928429423459244,0.3442165218189782,Average,10,AutoComplete
17,VerbalFluency_Phonemic_RawScore,0.2107355864811133,0.3631985879020689,Average,10,AutoComplete
18,WAIS3_BACS_SymbolCoding_RawRelative,0.0999146029035012,0.2585244382018549,Average,10,AutoComplete
19,WAIS3_DigitSpanBackwards_RawScore,0.2814685314685314,0.3059025974318753,Average,10,AutoComplete
20,WAIS3_DigitSpanForward_RawScore,0.0445804195804195,0.3191396480008943,Average,10,AutoComplete
21,WAIS3_DigitSpan_RawScore,0.194055944055944,0.4893296290335132,Average,10,AutoComplete
22,WAIS3_MCCB_LetterNumberSeeq_RawScore,0.0847902097902097,0.2251017258679839,Average,10,AutoComplete
23,WASI_BlockDesign_RawScore,0.1276595744680851,0.2866463170487692,Average,10,AutoComplete
24,WASI_MatrixReasoning_RawScore,0.1151877133105802,0.2628157274832995,Average,10,AutoComplete
25,WASI_Similarities_RawScore,0.1164613661814109,0.3009187185161222,Average,10,AutoComplete
26,WASI_Vocabulary_RawScore,0.1120615911035072,0.2646146777506425,Average,10,AutoComplete
27,WCTS_FailureToMaintain_RawScore,0.0513698630136986,0.6210865604590813,Average,10,AutoComplete
28,WCTS_NumberCategories_RawScore,0.3493150684931507,0.6667366026619338,Average,10,AutoComplete
29,WCTS_PerservativeError_RawScore,0.3904109589041096,0.5569745787229503,Average,10,AutoComplete
30,WCTS_PerservativeResponses_RawScore,0.4623287671232877,0.5754335792967371,Average,10,AutoComplete
31,WMS_FreeRecall_RawScore,0.2752475247524752,0.3785499503833202,Average,10,AutoComplete
32,WMS_ImmediateStoryRecall_A_RawScore,0.1206261510128913,0.3002385500080443,Average,10,AutoComplete
33,WMS_ImmediateStoryRecall_B_RawScore,0.1178637200736648,0.2732845265732776,Average,10,AutoComplete
34,WMS_ImmediateThematicRecall_A_RawScore,0.1390423572744014,0.2933532378220459,Average,10,AutoComplete
35,WMS_ImmediateThematicRecall_B_RawScore,0.1694290976058932,0.2954678612833554,Average,10,AutoComplete
36,WMS_TotalRecall_RawScore,0.2486187845303867,0.2731587908049218,Average,10,AutoComplete
0,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.5422715627668659,1.581744739983343,Average,10,Hierarchical approach
1,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.1719022687609075,1.6407085273225208,Average,10,Hierarchical approach
2,CaliforniaVLT_FreeRecall_RawScore,0.0059523809523809,0.7278149348808152,Average,10,Hierarchical approach
3,CaliforniaVLT_Total_RawScore,0.7599206349206349,1.6035011296508912,Average,10,Hierarchical approach
4,DKEFS_ColorWordInterference_Inhibition_RawScore,0.7872523686477175,2.15226659048112,Average,10,Hierarchical approach
5,DKEFS_ColorWordInterference_Switching_RawScore,0.7857769973661106,2.146229571285297,Average,10,Hierarchical approach
6,GroovedPegs_Dominant_RawScore,0.7915129151291513,2.0007097608279545,Average,10,Hierarchical approach
7,GroovedPegs_NDominant_RawScore,0.7700831024930748,2.002049886797579,Average,10,Hierarchical approach
8,HVLT_Total_RawScore,0.7316341829085458,1.8609829275925216,Average,10,Hierarchical approach
9,MCCB_Mazes_RawScore,0.6456456456456456,2.157690114267431,Average,10,Hierarchical approach
10,ReyOCF_Copy_RawScore,0.2698744769874477,2.1013993813878287,Average,10,Hierarchical approach
11,Rey_BVMT_LongTerm_RawScore,0.7848990342405618,2.0927870708875345,Average,10,Hierarchical approach
12,Trailmaking_test_part_A,0.7484939759036144,2.3650145419250554,Average,10,Hierarchical approach
13,UPSAB_Total_RawScore,0.7166212534059946,2.541215163492192,Average,10,Hierarchical approach
14,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.7799657534246576,1.444021055685591,Average,10,Hierarchical approach
15,VerbalFluency_Phonemic_RawScore,0.7793240556660039,2.2642670802882905,Average,10,Hierarchical approach
16,WAIS3_BACS_SymbolCoding_RawRelative,0.7865072587532024,2.231849098865652,Average,10,Hierarchical approach
17,WAIS3_DigitSpanBackwards_RawScore,0.3951048951048951,1.413119039116662,Average,10,Hierarchical approach
