,Dataset_1,Dataset_2
Age,34.55992141453831,33.592203898050975
var_1,28.142292490118578,29.191616766467067
var_2,28.142292490118578,29.191616766467067
var_3,0.6428217821782178,0.6489520958083832
var_4,58.20990099009901,59.883233532934135
var_5,61.93452380952381,63.386806596701646
var_6,111.51984126984127,114.65967016491754
var_7,61.93452380952381,63.386806596701646
var_8,54.992063492063494,56.78260869565217
var_9,48.93452380952381,28.87087087087087
var_10,28.2765407554672,28.130060422960725
var_11,9.918326693227092,9.907854984894259
var_12,1.1988071570576542,0.9319213313161876
var_13,21.136103379721668,21.271119515885022
var_14,1.242544731610338,0.9697428139183056
var_15,49.54541832669322,47.803933434190625
var_16,10.577689243027889,10.48108925869894
var_17,10.731075697211155,10.90015128593041
var_18,10.868263473053892,11.172465960665658
var_19,6.252964426877471,6.521875
var_20,4.9980237154150196,5.0703125
var_21,11.445833333333333,15.62012012012012
var_22,16.25098814229249,16.91875
var_23,22.531512605042018,27.869172932330827
var_24,55.52544731610338,54.37343260188088
var_25,5.5059288537549405,5.797250859106529
var_26,5.691699604743083,5.9312714776632305
var_27,12.403162055335969,13.637457044673539
var_28,11.100790513833992,11.723367697594501
var_29,26.608695652173914,28.93470790378007
var_30,14.245059288537549,15.309278350515465
var_31,62.39960238568588,59.04363636363637
var_32,69.3195219123506,64.89656946826757
var_33,46.82868525896414,50.97418244406196
var_34,49.278884462151396,53.29432013769363
var_35,56.27634194831014,54.29770992366412
var_36,112.9203187250996,113.05583756345177
var_37,53.66799204771372,55.11224489795919
var_38,58.562624254473164,59.06122448979592
var_39,114.14512922465208,115.53316326530613
var_40,53.66799204771372,55.11224489795919
var_41,39.10735586481113,38.06377551020408
var_42,109.05168986083498,108.06632653061224
var_43,39.10735586481113,38.06377551020408
var_44,6.312874251497006,6.312874251497006
var_45,58.40568862275449,58.40568862275449
var_46,10.085329341317365,10.085329341317365
var_47,10.294910179640718,10.294910179640718
var_48,10.830838323353293,10.830838323353293
var_49,9.517964071856287,9.517964071856287
var_50,50.84107946026987,50.84107946026987
